id,name,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19
0,1970ALB,0.01934196,0.030905837,0.088174559,0.008053414,0.009980727,0.036412445,0.024022577,6.88E-05,0.487678965,0.031456498,8.95E-04,0.02594989,0.035035793,0.011357379,0.103317731,0.002546806,6.88E-05,0.082667952,6.88E-05,0.001996145
1,1970ARG,0.006514258,1.23E-04,0.123033432,0.013888889,0.008480826,0.093534907,0.10140118,0.004056047,1.23E-04,1.23E-04,0.124508358,0.150073746,0.144665683,0.027654867,0.038470993,1.23E-04,0.045845624,0.086160275,0.002089479,0.029129794
2,1970AUS,0.033981693,0.081578947,0.121395881,0.03215103,0.023455378,0.139244851,0.066475973,0.045881007,0.002402746,0.002860412,0.018421053,0.099885584,0.071967963,1.14E-04,0.0298627,0.018421053,0.043592677,0.076544622,0.051830664,0.03993135
3,1970AUT,0.027073428,0.00118859,0.12955626,1.32E-04,0.023903856,0.087295298,0.075673534,1.32E-04,1.32E-04,0.001716852,0.014923402,0.13219757,0.136951928,0.010697306,0.059825674,0.002773376,0.197173798,0.041864765,0.033412573,0.023375594
4,1970BEL,0.006025867,0.00308642,0.09303351,7.35E-04,0.004262199,0.07069371,0.03659612,0.032480894,0.017195767,1.47E-04,0.008377425,0.163580247,0.110670194,0.037184009,0.055408583,0.001322751,0.054820694,0.09244562,0.035420341,0.176513815
5,1970BLR,0.0555237,0.010416667,0.050172018,0.016915138,0.006594037,0.121655199,0.023795872,0.005447248,0.201165902,0.027618502,0.01079893,0.095279052,0.178230122,0.029147554,0.088016055,0.002389144,0.026471713,0.045967125,9.56E-05,0.004300459
6,1970BOL,0.00780543,0.005542986,0.070701357,0.001470588,0.008710407,0.072963801,0.16300905,0.059841629,0.010067873,1.13E-04,0.05938914,0.091063348,0.123642534,0.036764706,0.101923077,0.025,0.010067873,0.127714932,0.005542986,0.018665158
7,1970BRA,0.007924641,1.50E-04,0.085077751,0.002541866,0.013307416,0.113187799,0.123953349,0.043809809,7.48E-04,0.00194378,0.009120813,0.131728469,0.144288278,0.022278708,0.030651914,0.016895933,0.033044258,0.063546651,0.056967703,0.098833732
8,1970CAN,0.025908479,0.004374159,0.180686406,3.36E-04,0.102624495,0.195491252,0.012449529,3.36E-04,3.36E-04,3.36E-04,0.005720054,0.175302826,0.051480485,0.001682369,0.016487214,3.36E-04,0.042059219,0.099932705,0.083781965,3.36E-04
9,1970CMR,0.047628952,0.002703827,0.02766223,2.08E-04,0.00436772,0.206530782,0.148294509,2.08E-04,0.012687188,2.08E-04,0.020174709,0.112520799,0.204034942,0.00187188,0.056780366,0.007695507,0.00436772,0.136647255,2.08E-04,0.005199667
10,1970COG,0.094373504,0.027334397,0.078411812,9.98E-04,2.00E-04,0.068834796,0.087190742,0.006584198,0.119912211,0.023343974,2.00E-04,0.068834796,0.045690343,0.12150838,0.056065443,0.028930567,0.030526736,0.137470072,2.00E-04,0.00339186
11,1970COL,8.49E-04,9.44E-05,0.04199698,0.003869385,0.00613439,0.077104568,0.100132125,0.051057003,0.008776897,9.44E-05,0.110702152,0.119007173,0.056342016,0.021234428,0.093337108,0.013684409,0.112967157,0.088052095,9.44E-05,0.094469611
12,1970CRI,0.018037684,0.03136489,0.080078125,0.029526654,0.130629596,0.086971507,0.116842831,0.041934743,0.001034007,0.021254596,0.039636949,0.158662684,0.083295037,0.025390625,0.063534007,0.004710478,0.009306066,0.051125919,1.15E-04,0.006548713
13,1970CUB,0.053848283,0.175110742,0.051079734,6.92E-04,0.053294574,0.06658361,0.032807309,0.010658915,0.1446567,0.005675526,0.015642303,0.059939092,0.047757475,0.058831672,0.125830565,0.015088594,1.38E-04,0.077104097,0.002906977,0.002353267
14,1970DOM,1.78E-04,0.002318117,0.053673324,0.056526391,0.007310984,0.105028531,0.129279601,1.78E-04,0.004457917,1.78E-04,0.045114123,0.15139087,0.1228602,0.003031384,0.025142653,0.013017118,0.02799572,0.225570613,1.78E-04,0.026569187
15,1970DZA,0.06639755,0.01795657,0.068624722,1.39E-04,0.007934298,0.075306236,0.045239421,0.012388641,0.148246102,0.094793987,0.013502227,0.061943207,0.082544543,0.125974388,0.059716036,0.018513363,1.39E-04,0.099805122,6.96E-04,1.39E-04
16,1970ECU,0.032204684,1.27E-04,0.068864562,0.025076375,0.02558554,0.086685336,0.130473523,0.011838086,0.011328921,1.27E-04,0.045952138,0.11163442,0.054098778,0.034750509,0.082102851,0.0174389,0.044933809,0.120290224,1.27E-04,0.09635947
17,1970FRA,0.029898219,0.018023749,0.108778626,2.12E-04,0.010390161,0.068914334,0.090118745,0.026505513,0.032442748,0.005301103,0.004452926,0.106234097,0.029898219,0.039228159,0.06043257,0.046013571,0.046861747,0.17663274,0.029898219,0.069762511
18,1970GBR,0.008604651,0.007674419,0.183488372,0.02627907,0.096046512,0.091395349,0.057906977,0.006744186,0.003953488,0.009534884,0.011395349,0.07372093,0.050465116,2.33E-04,0.057906977,0.065348837,0.064418605,0.101627907,0.019767442,0.063488372
19,1970GHA,0.059123484,1.38E-04,0.061328556,0.003996692,1.38E-04,0.177646086,0.028252481,0.222298787,0.018880926,1.38E-04,0.009509372,0.078969129,0.094404631,0.008406836,0.032662624,0.005650496,0.052508269,0.100468578,0.045341786,1.38E-04
20,1970GIN,0.185719019,1.66E-04,0.051192843,1.66E-04,0.00944334,0.088303512,0.103545394,0.002153744,0.063783963,0.024022531,0.016732936,0.082339298,0.082339298,0.037939032,0.092279655,0.020046388,0.020709079,0.083664679,1.66E-04,0.03528827
21,1970GMB,0.14205786,0.015420306,0.12404476,0.021424672,0.002319869,0.189546943,0.057450873,0.071097162,0.00614083,0.00614083,6.82E-04,0.066730349,0.060180131,0.006686681,0.06345524,0.025245633,0.002319869,0.108760917,0.026337336,0.003957424
22,1970GTM,2.51E-04,0.005260521,0.135521042,0.028306613,0.024298597,0.099448898,0.056362725,0.014278557,0.002254509,2.51E-04,0.110470942,0.140531062,0.128507014,0.032314629,0.039328657,2.51E-04,0.041332665,0.111472946,2.51E-04,0.029308617
23,1970HND,0.002930568,2.25E-04,0.094003607,2.25E-04,0.047114518,0.059738503,0.105725879,0.069657349,2.25E-04,0.002028855,0.112037872,0.121055005,0.066050496,0.075969342,0.088593327,0.031785392,0.018259693,0.077772768,2.25E-04,0.026375113
