Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
0,0.25,people,countries,united,peoples,republic,states,struggle,aggression,national,independence,world,peace,military,democratic,forces,people's,government,war,support,viet
1,0.25,africa,south,african,people,namibia,countries,international,independence,regime,apartheid,southern,organization,economic,situation,assembly,struggle,state,country,racist,states
2,0.25,international,countries,world,economic,development,order,peoples,organization,peace,community,relations,developing,political,states,social,problems,country,situation,principles,efforts
3,0.25,human,rights,world,peace,people,nations,democracy,democratic,freedom,future,social,political,society,respect,today,values,country,poverty,justice,national
4,0.25,countries,development,economic,developing,cent,trade,world,resources,financial,caribbean,developed,growth,food,states,economy,small,social,people,country,assistance
5,0.25,united,nations,security,international,development,council,organization,cooperation,peace,reform,states,efforts,important,human,general,role,member,assembly,process,work
6,0.25,states,nuclear,international,united,weapons,soviet,security,disarmament,peace,europe,world,relations,union,republic,nations,arms,treaty,general,countries,military
7,0.25,international,european,security,region,united,nations,country,republic,cooperation,europe,stability,afghanistan,political,community,regional,state,economic,union,turkey,process
8,0.25,nations,united,co-operation,assembly,government,session,conference,general,peace,hope,problems,problem,great,delegation,year,resolution,progress,efforts,organization,special
9,0.25,nations,united,international,efforts,peace,co-operation,countries,south,support,hope,problems,security,conference,community,solution,problem,africa,secretary-general,situation,region
10,0.25,america,government,latin,american,country,central,states,international,political,president,panama,support,social,peace,assembly,united,peoples,process,guatemala,region
11,0.25,world,nations,time,war,united,years,today,power,history,fact,make,long,political,problems,part,organization,great,past,interests,future
12,0.25,countries,nuclear,developing,economic,world,international,disarmament,weapons,south,development,negotiations,peace,global,developed,arms,issues,region,asia,conference,pakistan
13,0.25,peace,african,africa,government,country,republic,community,democratic,people,political,countries,president,support,national,security,international,conflict,somalia,development,continent
14,0.25,development,united,nations,international,security,global,challenges,support,sustainable,efforts,terrorism,climate,change,goals,council,millennium,cooperation,countries,reform,work
15,0.25,rights,human,international,states,law,government,security,council,european,united,respect,community,assembly,organization,general,charter,political,member,year,convention
16,0.25,international,security,peace,arab,israel,palestinian,states,region,united,people,council,resolutions,iraq,east,middle,lebanon,israeli,efforts,state,palestine
17,0.25,international,nations,united,states,world,economic,assembly,community,organization,development,delegation,session,government,general,developing,peace,people,charter,issues,continue
18,0.25,people,united,nations,world,country,terrorism,war,today,peace,president,year,children,years,assembly,state,million,afghanistan,nation,terrorist,military
19,0.25,pacific,island,small,united,islands,states,nations,government,japan,region,people,change,climate,developing,country,countries,year,forum,republic,development
